counter	outwr	changereader	currentreader	c0ftsfrden	ftsfrden	ftsfwren	changewriter	currentwriter	threadid	state	pc	rdaddr	rdatac	rdatah	rdatal	wrten	wraddr	wdatac	wdatah	wdatal
  0	0	0	1	0	1	1	0	0	2	2	0a	ed	ff	0020001f	000400f6	1	ed	ff	0020001f	000400f6
  1	0	0	1	0	1	1	0	0	3	0	11	ed	ff	0020001f	000400f6	1	ee	00	0180c200	000eb439
  2	0	0	1	0	1	1	0	0	3	2	18	ed	ff	0020001f	000400f6	1	ef	00	d6eed4d5	88cc0207
  3	0	0	1	0	1	1	0	0	2	0	01	ed	ff	0020001f	000400f6	1	f0	00	04b439d6	eec40004
  4	0	0	1	0	1	1	0	0	2	2	0b	ed	ff	0020001f	000400f6	1	f1	00	03073433	06020078
  5	0	0	1	0	1	1	0	0	3	0	12	ed	ff	0020001f	000400f6	1	f2	00	08034231	390a0648
  6	0	0	1	0	1	1	0	0	3	2	19	ed	ff	0020001f	000400f6	1	f3	00	50313863	310c9348
  7	0	0	1	0	1	1	0	0	2	0	02	ed	ff	0020001f	000400f6	1	f4	00	50204a38	36393741
  8	0	0	1	0	1	1	0	0	2	2	0c	ed	ff	0020001f	000400f6	1	f5	00	20537769	74636820
  9	0	0	1	0	1	1	0	0	3	0	13	ed	ff	0020001f	000400f6	1	f6	00	35343036	7a6c2c20
  a	0	0	1	0	1	1	0	0	3	2	1a	ed	ff	0020001f	000400f6	1	f7	00	72657669	73696f6e
  b	0	0	1	0	1	1	0	0	2	0	00	ed	ff	0020001f	000400f6	1	f8	00	204b2e31	362e3032
  c	0	0	1	0	1	1	0	0	2	2	06	ed	ff	0020001f	000400f6	1	f9	00	2e303032	312c2052
  d	0	0	1	0	1	1	0	0	3	0	0d	ed	ff	0020001f	000400f6	1	fa	00	4f4d204b	2e31352e
  e	0	0	1	0	1	1	0	0	3	2	14	ed	ff	0020001f	000400f6	1	fb	00	33302028	2f77732f
  f	0	0	1	0	1	1	0	0	2	0	01	ed	ff	0020001f	000400f6	1	fc	00	73776275	696c646d
 10	0	0	1	0	1	1	0	0	2	2	07	ed	ff	0020001f	000400f6	1	fd	00	2f72656c	5f73706f
 11	0	0	1	0	1	1	0	0	3	0	0e	ed	ff	0020001f	000400f6	1	fe	00	6b616e65	5f71616f
 12	0	0	1	0	1	1	0	0	3	2	15	ed	ff	0020001f	000400f6	1	ff	00	66662f63	6f64652f
 13	0	0	1	0	1	1	0	0	2	0	02	ed	ff	0020001f	000400f6	1	00	00	6275696c	642f6274
 14	0	0	1	0	1	1	0	0	2	2	08	ed	ff	0020001f	000400f6	1	01	00	6d287377	6275696c
 15	0	0	1	0	1	1	0	0	3	0	0f	ed	ff	0020001f	000400f6	1	02	00	646d5f72	656c5f73
 16	0	0	1	0	1	1	0	0	3	2	16	ed	ff	0020001f	000400f6	1	03	00	706f6b61	6e655f71
 17	0	0	1	0	1	1	0	0	2	0	00	ed	ff	0020001f	000400f6	1	04	00	616f6666	5f72656c
 18	0	0	1	0	1	1	0	0	2	2	09	ed	ff	0020001f	000400f6	1	05	00	5f73706f	6b616e65
 19	0	0	1	0	1	1	0	0	3	0	10	ed	ff	0020001f	000400f6	1	06	00	29290e04	00140004
 1a	0	0	1	0	1	1	0	0	3	2	17	ed	ff	0020001f	000400f6	1	07	00	100e0706	b439d6ee
 1b	0	0	1	0	1	1	0	0	2	0	01	ed	ff	0020001f	000400f6	1	08	00	c4000200	00000000
 1c	0	0	1	0	1	1	0	0	2	2	0a	ed	ff	0020001f	000400f6	1	09	00	fe060080	c20100f5
 1d	0	0	1	0	1	1	0	0	3	0	11	ed	ff	0020001f	000400f6	1	0a	00	fe090012	0f010300
 1e	0	0	1	0	1	0	0	0	3	2	18	ed	ff	0020001f	000400f6	1	0b	00	01001efe	0700120f
 1f	0	0	1	0	1	0	0	0	2	0	02	ed	ff	0020001f	000400f6	1	0c	04	02070101	0000c0ba
 20	0	0	1	0	0	0	1	2	2	2	0b	ed	ff	0020001f	000400f6	0	0d	04	02070101	0000c0ba
 21	0	0	1	0	0	0	0	1	1	0	12	00	ff	0020001f	000400f6	0	00	00	00000000	00000000
 22	0	0	1	0	0	0	0	1	1	2	19	00	00	6275696c	642f6274	0	00	00	00000000	00000000
 23	0	0	1	0	0	0	0	1	0	0	00	00	00	6275696c	642f6274	0	00	00	00000000	00000000
