counterstatepcrdaddrrdatacrdatahrdatalwrenwraddrwdatacwdatahwdatal	     	  	      	      	        	        	    	      	      	        	        
counter	state	pc	rdaddr	rdatac	rdatah		rdatal		wren	wraddr	wdatac	wdatah		wdatal
  0	0	05	dc	00	0002acc1	34640000	 1	dc	ff	0080000d	00060062
  1	1	06	dc	ff	0080000d	00060062	 1	dd	00	004e4632	43033464
  2	1	07	dc	ff	0080000d	00060062	 1	de	00	a9902e30	08004500
  3	1	08	dc	ff	0080000d	00060062	 1	df	00	0054ea94	40004001
  4	1	09	dc	ff	0080000d	00060062	 1	e0	00	3a0d0a01	00030a01
  5	1	0a	dc	ff	0080000d	00060062	 1	e1	00	02030800	f3681943
  6	1	04	dc	ff	0080000d	00060062	 1	e2	00	0001c8c1	34640000
  7	1	05	dc	ff	0080000d	00060062	 1	e3	00	00002c5a	03000000
  8	1	06	dc	ff	0080000d	00060062	 1	e4	00	00001011	12131415
  9	1	07	dc	ff	0080000d	00060062	 1	e5	00	16171819	1a1b1c1d
  a	1	08	dc	ff	0080000d	00060062	 1	e6	00	1e1f2021	22232425
  b	1	09	dc	ff	0080000d	00060062	 1	e7	00	26272829	2a2b2c2d
  c	1	0a	dc	ff	0080000d	00060062	 1	e8	00	2e2f3031	32333435
  d	1	04	dc	ff	0080000d	00060062	 1	e9	40	363753ab	57000000
  e	3	05	dc	ff	0080000d	00060062	 0	ea	40	363753ab	57000000
  f	3	06	00	ff	0080000d	00060062	 0	00	00	00000000	00000000
 10	3	07	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 11	3	08	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 12	3	09	00	ff	0001000d	00060062	 0	00	00	00000000	00000003
 13	3	0a	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 14	3	0b	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 15	3	0c	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 16	3	0d	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 17	3	0e	df	ff	0001000d	00060062	 0	df	00	00000000	00000203
 18	3	0f	00	00	0054ea94	40004001	 0	00	00	00000000	00000000
 19	3	10	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 1a	3	11	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 1b	3	12	df	ff	0001000d	00060062	 0	df	00	00000000	00000000
 1c	3	13	00	00	0054ea94	40004001	 0	00	00	00000000	00000000
 1d	3	14	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 1e	3	15	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 1f	3	16	01	ff	0001000d	00060062	 0	01	00	00000000	00000000
 20	3	17	00	00	3464a990	2ad0004e	 0	00	00	00000000	00000000
 21	3	18	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 22	3	19	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 23	3	1a	02	ff	0001000d	00060062	 0	02	00	00000000	00000001
 24	3	1b	01	00	46324300	08004500	 0	01	00	00000000	00000001
 25	3	24	e1	00	3464a990	2ad0004e	 0	e1	00	00000000	000000df
 26	3	25	00	00	02030800	f3681943	 0	00	00	00000000	00000000
 27	3	26	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 28	3	27	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 29	3	28	e1	ff	0001000d	00060062	 0	e1	00	00000000	00000000
 2a	3	29	00	00	02030800	f3681943	 0	00	00	00000000	00000000
 2b	3	2a	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 2c	3	2b	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 2d	3	2c	43	ff	0001000d	00060062	 0	43	00	00000000	00000000
 2e	3	2d	03	00	46324300	08060001	 0	03	00	00000000	00000000
 2f	3	2e	01	00	0054dfe0	40003f01	 0	01	00	00000000	00000000
 30	3	2f	00	00	3464a990	2ad0004e	 0	00	00	00000000	00000000
 31	3	30	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 32	3	31	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 33	3	32	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 34	3	33	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 35	3	34	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 36	3	35	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 37	3	36	ff	ff	0001000d	00060062	 0	ff	00	00000000	00000000
 38	3	37	00	40	3637b864	f0000000	 0	00	00	00000000	00000000
 39	3	38	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 3a	3	39	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 3b	3	3a	03	ff	0001000d	00060062	 0	03	00	00000000	0000ffff
 3c	3	3b	00	00	0054dfe0	40003f01	 0	00	00	00000000	00000000
 3d	3	3c	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 3e	3	3d	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 3f	3	3e	06	ff	0001000d	00060062	 0	06	00	00000000	00000203
 40	3	3f	00	00	0004aec1	34640000	 0	00	00	00000000	00000000
 41	3	43	e0	ff	0001000d	00060062	 0	e0	00	00000000	00000001
 42	3	44	00	00	3a0d0a01	00030a01	 0	00	00	00000000	00000000
 43	3	45	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 44	3	46	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 45	3	47	e0	ff	0001000d	00060062	 0	e0	00	00000000	00000000
 46	3	48	00	00	3a0d0a01	00030a01	 0	00	00	00000000	00000000
 47	3	49	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 48	3	4a	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 49	3	4b	01	ff	0001000d	00060062	 0	01	00	00000000	00000000
 4a	3	4c	00	00	3464a990	2ad0004e	 0	00	00	00000000	00000000
 4b	3	4d	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 4c	3	4e	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 4d	3	4f	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 4e	3	50	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 4f	3	51	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 50	3	52	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 51	3	53	ff	ff	0001000d	00060062	 0	ff	00	00000000	00000000
 52	3	54	00	40	3637b864	f0000000	 0	00	00	00000000	00000000
 53	3	55	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 54	3	56	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 55	3	57	01	ff	0001000d	00060062	 0	01	00	0000ffff	ffffffff
 56	3	58	00	00	3464a990	2ad0004e	 0	00	00	00000000	00000000
 57	3	59	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 58	3	5a	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 59	3	5b	e0	ff	0001000d	00060062	 1	e0	00	00000a01	00030a01
 5a	3	5c	e1	00	00000a01	00030a01	 0	e1	00	00000000	00000001
 5b	3	5d	00	00	02030800	f3681943	 0	00	00	00000000	00000000
 5c	3	5e	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 5d	3	5f	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 5e	3	60	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 5f	3	61	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 60	3	62	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 61	3	63	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 62	3	64	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 63	3	65	43	ff	0001000d	00060062	 0	43	00	01000000	00000000
 64	3	66	00	00	46324300	08060001	 0	00	00	00000000	00000000
 65	3	67	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 66	3	68	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 67	3	69	e1	ff	0001000d	00060062	 1	e1	00	03030800	f3681943
 68	3	6a	00	00	03030800	f3681943	 0	00	00	00000000	00000000
 69	3	6b	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 6a	3	6c	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 6b	3	6d	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 6c	3	6e	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 6d	3	1b	01	ff	0001000d	00060062	 0	01	00	00000a01	00030a01
 6e	3	1c	00	00	3464a990	2ad0004e	 0	00	00	00000000	00000000
 6f	3	1d	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 70	3	1e	00	ff	0001000d	00060062	 0	00	00	00000000	00000000
 71	3	1f	00	ff	0001000d	00060062	 0	00	00	00000000	00000001
 72	2	20	dc	ff	0001000d	00060062	 0	ea	40	363753ab	57000000
 73	2	21	dd	ff	0080000d	00060062	 0	ea	40	363753ab	57000000
 74	2	22	de	00	004e4632	43033464	 0	ea	40	363753ab	57000000
 75	2	23	df	00	a9902e30	08004500	 0	ea	40	363753ab	57000000
 76	2	24	e0	00	0054ea94	40004001	 0	ea	40	363753ab	57000000
 77	2	04	e1	00	00000a01	00030a01	 0	ea	40	363753ab	57000000
 78	2	05	e2	00	03030800	f3681943	 0	ea	40	363753ab	57000000
 79	2	06	e3	00	0001c8c1	34640000	 0	ea	40	363753ab	57000000
 7a	2	07	e4	00	00002c5a	03000000	 0	ea	40	363753ab	57000000
 7b	2	08	e5	00	00001011	12131415	 0	ea	40	363753ab	57000000
 7c	2	09	e6	00	16171819	1a1b1c1d	 0	ea	40	363753ab	57000000
 7d	2	0a	e7	00	1e1f2021	22232425	 0	ea	40	363753ab	57000000
 7e	2	04	e8	00	26272829	2a2b2c2d	 0	ea	40	363753ab	57000000
 7f	2	05	e9	00	2e2f3031	32333435	 0	ea	40	363753ab	57000000
 80	2	06	ea	40	363753ab	57000000	 0	ea	40	363753ab	57000000
 81	0	07	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 82	0	08	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 83	0	09	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 84	0	0a	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 85	0	04	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 86	0	05	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 87	0	06	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 88	0	07	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 89	0	08	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 8a	0	09	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 8b	0	0a	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 8c	0	04	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 8d	0	05	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 8e	0	06	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 8f	0	07	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 90	0	08	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 91	0	09	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 92	0	0a	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 93	0	04	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 94	0	05	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 95	0	06	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 96	0	07	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 97	0	08	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 98	0	09	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 99	0	0a	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 9a	0	04	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 9b	0	05	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 9c	0	06	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 9d	0	07	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 9e	0	08	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 9f	0	09	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 a0	0	0a	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 a1	0	04	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 a2	0	05	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 a3	0	06	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 a4	0	07	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 a5	0	08	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 a6	0	09	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 a7	0	0a	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 a8	0	04	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 a9	0	05	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 aa	0	06	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 ab	0	07	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 ac	0	08	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 ad	0	09	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 ae	0	0a	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 af	0	04	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 b0	0	05	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 b1	0	06	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 b2	0	07	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 b3	0	08	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 b4	0	09	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 b5	0	0a	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 b6	0	04	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 b7	0	05	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 b8	0	06	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 b9	0	07	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 ba	0	08	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 bb	0	09	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 bc	0	0a	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 bd	0	04	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 be	0	05	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 bf	0	06	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 c0	0	07	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 c1	0	08	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 c2	0	09	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 c3	0	0a	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 c4	0	04	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 c5	0	05	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 c6	0	06	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 c7	0	07	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 c8	0	08	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 c9	0	09	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 ca	0	0a	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 cb	0	04	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 cc	0	05	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 cd	0	06	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 ce	0	07	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 cf	0	08	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 d0	0	09	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 d1	0	0a	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 d2	0	04	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 d3	0	05	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 d4	0	06	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 d5	0	07	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 d6	0	08	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 d7	0	09	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 d8	0	0a	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 d9	0	04	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
 da	0	05	ea	00	0003adc1	34640000	 0	ea	40	363753ab	57000000
