counterstatepcrdaddrrdatacrdatahrdatalwrenwraddrwdatacwdatahwdatal	     	  	      	      	        	        	    	      	      	        	        
counter	state	pc	rdaddr	rdatac	rdatah		rdatal		wren	wraddr	wdatac	wdatah		wdatal
  0	0	09	3e	00	72657669	73696f6e	 1	3e	ff	0080000d	00060062
  1	1	0a	3e	f7	6085700d	720f2f66	 1	3f	00	004e4632	4303a036
  2	1	04	3e	ff	0080000d	00060062	 1	40	00	9f09294e	08004500
  3	1	05	3e	ff	0080000d	00060062	 1	41	00	0054adce	40004001
  4	1	06	3e	ff	0080000d	00060062	 1	42	00	75d30a01	00030a01
  5	1	07	3e	ff	0080000d	00060062	 1	43	00	03030800	ff821d0f
  6	1	08	3e	ff	0080000d	00060062	 1	44	00	0004664a	33640000
  7	1	09	3e	ff	0080000d	00060062	 1	45	00	000080e8	02000000
  8	1	0a	3e	ff	0080000d	00060062	 1	46	00	00001011	12131415
  9	1	04	3e	ff	0080000d	00060062	 1	47	00	16171819	1a1b1c1d
  a	1	05	3e	ff	0080000d	00060062	 1	48	00	1e1f2021	22232425
  b	1	06	3e	ff	0080000d	00060062	 1	49	00	26272829	2a2b2c2d
  c	1	07	3e	ff	0080000d	00060062	 1	4a	00	2e2f3031	32333435
  d	1	08	3e	ff	0080000d	00060062	 1	4b	40	36371c88	ee000000
  e	3	09	3e	ff	0080000d	00060062	 0	4c	40	36371c88	ee000000
  f	3	0a	00	ff	0080000d	00060062	 0	00	00	00000000	00000000
 10	3	04	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 11	3	05	03	00	2e303032	312c2052	 0	03	00	00000000	00000203
 12	3	06	00	00	73776275	696c646d	 0	00	00	00000000	00000000
 13	3	07	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 14	3	08	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 15	3	09	00	00	2e303032	312c2052	 0	00	00	00000000	00000003
 16	3	0a	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 17	3	0b	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 18	3	0c	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 19	3	0d	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 1a	3	0e	41	00	2e303032	312c2052	 0	41	00	00000000	00000203
 1b	3	0f	00	00	0054adce	40004001	 0	00	00	00000000	00000000
 1c	3	10	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 1d	3	11	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 1e	3	12	41	00	2e303032	312c2052	 0	41	00	00000000	00000000
 1f	3	13	00	00	0054adce	40004001	 0	00	00	00000000	00000000
 20	3	14	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 21	3	15	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 22	3	16	01	00	2e303032	312c2052	 0	01	00	00000000	00000000
 23	3	17	00	00	4f4d204b	2e31352e	 0	00	00	00000000	00000000
 24	3	18	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 25	3	19	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 26	3	1a	00	00	2e303032	312c2052	 0	00	00	00000000	00000002
 27	3	1b	01	00	2e303032	312c2052	 0	01	00	00000000	00000001
 28	3	24	43	00	4f4d204b	2e31352e	 0	43	00	00000000	00000041
 29	3	25	00	00	03030800	ff821d0f	 0	00	00	00000000	00000000
 2a	3	26	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 2b	3	27	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 2c	3	28	43	00	2e303032	312c2052	 0	43	00	00000000	00000000
 2d	3	29	00	00	03030800	ff821d0f	 0	00	00	00000000	00000000
 2e	3	2a	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 2f	3	2b	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 30	3	2c	0f	00	2e303032	312c2052	 0	0f	00	00000000	00000000
 31	3	2d	00	00	c4000200	00000000	 0	00	00	00000000	00000000
 32	3	2e	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 33	3	2f	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 34	3	30	0f	00	2e303032	312c2052	 0	0f	00	00000000	00000000
 35	3	31	00	00	c4000200	00000000	 0	00	00	00000000	00000000
 36	3	32	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 37	3	33	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 38	3	34	01	00	2e303032	312c2052	 0	01	00	00000000	00000000
 39	3	35	00	00	4f4d204b	2e31352e	 0	00	00	00000000	00000000
 3a	3	36	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 3b	3	37	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 3c	3	38	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 3d	3	39	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 3e	3	3a	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 3f	3	3b	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 40	3	3c	01	00	2e303032	312c2052	 0	01	00	00000000	00000000
 41	3	3d	00	00	4f4d204b	2e31352e	 0	00	00	00000000	00000000
 42	3	3e	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 43	3	3f	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 44	3	40	01	00	2e303032	312c2052	 0	01	00	00000000	00000001
 45	3	41	00	00	4f4d204b	2e31352e	 0	00	00	00000000	00000000
 46	3	42	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 47	3	43	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 48	3	44	fe	00	2e303032	312c2052	 0	fe	00	00000000	00000203
 49	3	45	00	00	72657669	73696f6e	 0	00	00	00000000	00000000
 4a	3	46	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 4b	3	47	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
